Source,Target,weight
92,2140,0.057999999999999996
122,2140,0.018000000000000002
154,2140,0.012
1864,2140,0.045
161,2140,0.032
168,2140,0.027999999999999997
1711,1708,0.395
232,1708,0.436
1711,226,0.369
1711,259,0.284
230,259,0.5770000000000001
1711,227,0.284
1711,1931,0.27899999999999997
230,1931,0.28300000000000003
862,1931,0.149
629,1931,0.185
1711,228,0.27
1711,229,0.24600000000000002
1711,230,0.24600000000000002
1711,231,0.24600000000000002
1711,232,0.201
9,233,0.537
9,234,0.516
9,235,0.37200000000000005
9,236,0.307
9,237,0.16899999999999998
9,1046,0.079
781,1046,0.29
95,1046,0.102
9,431,0.057999999999999996
32,431,0.065
9,839,0.043
78,839,0.048
1272,2034,0.48
2038,2034,0.5770000000000001
2037,2034,0.5770000000000001
1423,2034,0.226
1272,2035,0.32
2038,2035,0.5770000000000001
2037,2035,0.5770000000000001
1423,2035,0.226
1272,2037,0.27699999999999997
1276,2037,0.158
2038,2037,0.5
1423,2037,0.196
1272,2038,0.27699999999999997
1276,2038,0.158
2037,2038,0.5
1423,2038,0.196
1272,238,0.248
1272,1127,0.21
582,1127,0.14300000000000002
1272,239,0.185
1272,731,0.14800000000000002
875,731,0.134
1272,1156,0.127
428,1156,0.136
988,312,0.522
1525,312,0.17600000000000002
988,240,0.426
988,964,0.228
1119,964,0.325
1851,964,0.1
988,241,0.222
988,242,0.201
988,988,0.182
1784,988,0.14400000000000002
988,1784,0.14400000000000002
1499,1784,0.332
152,1784,0.057999999999999996
988,1981,0.092
96,1981,0.044000000000000004
97,1981,0.054000000000000006
764,1981,0.068
10,2056,0.062
2057,2056,0.14400000000000002
10,822,0.06
819,822,0.069
10,244,0.057999999999999996
10,1521,0.024
84,1521,0.051
1026,1521,0.133
10,1817,0.013999999999999999
1972,1817,0.256
370,1817,0.051
747,1817,0.14400000000000002
2135,1817,0.258
81,1817,0.016
1389,1817,0.14300000000000002
85,1817,0.025
89,1817,0.012
102,1817,0.027999999999999997
109,1817,0.02
141,1817,0.02
154,1817,0.016
11,756,0.244
591,756,0.152
67,756,0.095
11,472,0.14
214,472,0.16
11,1647,0.099
12,1647,0.078
1647,1647,0.28600000000000003
123,1647,0.136
131,1647,0.078
523,1647,0.336
11,2060,0.07200000000000001
709,2060,0.20199999999999999
28,2060,0.038
84,2060,0.06
2184,2060,0.059000000000000004
1036,2060,0.059000000000000004
2057,2060,0.109
11,685,0.053
63,685,0.066
11,1381,0.051
50,1381,0.024
1053,1381,0.043
129,1381,0.024
11,1802,0.051
20,1802,0.183
801,1802,0.14400000000000002
129,1802,0.038
1623,1802,0.127
12,245,0.348
12,1646,0.33299999999999996
1647,1646,0.47
523,1646,0.408
12,1310,0.215
117,1310,0.08800000000000001
12,811,0.195
72,811,0.11900000000000001
295,1184,0.5479999999999999
405,1184,0.196
651,1184,0.187
295,1686,0.415
2027,1686,0.166
866,1686,0.131
1011,1686,0.214
295,246,0.27899999999999997
295,1607,0.243
1601,1607,0.051
295,2019,0.207
591,2019,0.084
613,2019,0.16
13,247,0.309
13,711,0.095
712,711,0.35700000000000004
13,248,0.08900000000000001
13,1939,0.087
709,1939,0.098
422,1939,0.121
1821,1939,0.15
13,263,0.083
230,263,0.134
13,631,0.08199999999999999
56,631,0.27
13,660,0.08
422,660,0.111
13,314,0.078
2190,314,0.221
13,2082,0.061
1581,2082,0.46399999999999997
13,249,0.059000000000000004
254,250,0.359
254,251,0.29600000000000004
254,1248,0.281
17,1248,0.22899999999999998
1249,1248,0.226
254,252,0.265
254,253,0.265
254,327,0.22899999999999998
20,327,0.16
254,254,0.21100000000000002
254,255,0.20600000000000002
254,256,0.205
254,257,0.16399999999999998
230,258,0.7070000000000001
230,260,0.392
230,261,0.295
230,1711,0.24600000000000002
232,1711,0.201
230,1155,0.21600000000000003
428,1155,0.136
230,648,0.18600000000000003
57,648,0.131
230,262,0.18
732,264,0.243
732,1823,0.217
1937,1823,0.145
732,265,0.171
732,856,0.153
450,856,0.18600000000000003
732,468,0.135
214,468,0.385
732,266,0.131
732,267,0.125
732,875,0.121
1892,875,0.265
732,1271,0.11800000000000001
2162,1271,0.19399999999999998
575,1271,0.217
415,1271,0.21
920,1271,0.12300000000000001
732,268,0.10300000000000001
2162,269,0.37799999999999995
2162,574,0.267
575,574,0.894
415,574,0.289
2162,575,0.239
415,575,0.258
2162,576,0.239
575,576,0.4
415,576,0.258
2162,1398,0.17800000000000002
571,1398,0.096
2162,415,0.154
575,415,0.258
2162,1376,0.146
266,1376,0.16399999999999998
128,1376,0.163
1972,834,0.478
747,834,0.11900000000000001
2135,834,0.315
1972,2102,0.228
14,2102,0.16699999999999998
2059,2102,0.152
54,2102,0.027000000000000003
725,2102,0.022000000000000002
75,2102,0.022000000000000002
97,2102,0.027000000000000003
107,2102,0.136
292,2102,0.18
2057,2102,0.15
1866,2102,0.205
1972,1801,0.21
789,1801,0.113
577,1801,0.17800000000000002
620,1801,0.084
1623,1801,0.14300000000000002
1972,1800,0.196
789,1800,0.122
577,1800,0.18600000000000003
620,1800,0.091
1623,1800,0.149
1972,270,0.14400000000000002
1972,743,0.138
747,743,0.21600000000000003
14,271,0.22899999999999998
14,272,0.175
14,273,0.147
14,274,0.113
14,275,0.111
14,1172,0.111
107,1172,0.12300000000000001
14,1401,0.10300000000000001
129,1401,0.025
292,1401,0.182
14,1049,0.098
96,1049,0.07200000000000001
14,1540,0.09699999999999999
1405,1540,0.136
1541,1540,0.145
1739,847,0.278
846,847,0.11900000000000001
620,847,0.126
1739,693,0.19
65,693,0.397
1739,276,0.17600000000000002
1739,499,0.155
1331,499,0.15
1739,1132,0.146
2009,1132,0.18600000000000003
1522,1132,0.24100000000000002
1739,1133,0.135
1522,1133,0.223
1739,277,0.134
1739,1134,0.129
1522,1134,0.213
1739,1631,0.129
1524,1631,0.318
1625,1631,0.16399999999999998
464,1631,0.14400000000000002
1798,1631,0.26
1877,1631,0.191
1739,1379,0.125
129,1379,0.063
1141,336,0.26
342,336,0.484
1141,1885,0.22699999999999998
157,1885,0.085
1141,278,0.205
1141,337,0.183
342,337,0.47100000000000003
1141,279,0.17800000000000002
1141,1093,0.165
1091,1093,0.048
1141,354,0.165
1763,354,0.242
1141,1990,0.16
89,1990,0.038
96,1990,0.147
114,1990,0.076
1036,1990,0.076
1141,342,0.158
26,342,0.13
1141,1048,0.13699999999999998
96,1048,0.102
282,280,0.389
282,281,0.327
282,1512,0.292
819,1512,0.14400000000000002
1892,1512,0.08800000000000001
879,1512,0.177
686,1512,0.08800000000000001
282,587,0.27
1902,587,0.243
282,877,0.252
1892,877,0.069
282,600,0.235
50,600,0.135
282,282,0.19399999999999998
282,1844,0.152
1450,1844,0.053
282,283,0.11199999999999999
282,284,0.11
1586,1255,0.5660000000000001
1590,1255,0.102
2008,1255,0.153
1586,285,0.29600000000000004
1586,286,0.27699999999999997
1586,1896,0.162
1690,1896,0.157
446,1896,0.14
1255,1896,0.23800000000000002
1798,1896,0.386
1623,1896,0.248
1894,1896,0.08900000000000001
1586,1396,0.14300000000000002
1391,1396,0.298
120,1396,0.165
571,1396,0.141
1586,1826,0.124
155,1826,0.254
1586,1587,0.124
789,1587,0.5
577,1587,0.17600000000000002
1255,1587,0.183
1586,1874,0.11
1619,1874,0.46299999999999997
1255,1874,0.162
1798,1874,0.387
1623,1874,0.215
503,1874,0.21
1586,287,0.109
1586,1649,0.105
143,1649,0.239
15,288,0.365
15,391,0.298
687,391,0.162
766,391,0.201
15,289,0.231
15,1961,0.138
160,1961,0.146
15,935,0.064
89,935,0.064
15,1750,0.057999999999999996
59,1750,0.145
232,1750,0.092
180,1750,0.10099999999999999
15,833,0.055999999999999994
1386,833,0.042
33,833,0.067
63,833,0.057
826,833,0.039
2059,290,0.384
2059,291,0.335
2059,1400,0.282
292,1400,0.289
2059,292,0.27399999999999997
2059,1399,0.244
292,1399,0.36700000000000005
2059,2059,0.163
742,2059,0.051
292,2059,0.27399999999999997
139,2059,0.036000000000000004
2057,2059,0.111
2059,1402,0.133
292,1402,0.159
16,1338,0.14
428,1338,0.109
1335,1338,0.064
1607,293,0.35600000000000004
1607,294,0.249
1607,1035,0.243
514,1035,0.447
1984,1035,0.24
1607,296,0.23
1607,297,0.222
1607,843,0.21899999999999997
792,843,0.225
1607,298,0.217
1607,1157,0.19399999999999998
428,1157,0.12300000000000001
1765,1434,0.447
77,1434,0.34600000000000003
1829,1434,0.316
1765,1433,0.377
77,1433,0.292
1829,1433,0.474
1765,300,0.371
1765,1871,0.35
1870,1871,0.207
77,1871,0.301
1829,1871,0.248
140,1871,0.165
730,1871,0.213
503,1871,0.342
1765,301,0.34600000000000003
1765,1580,0.345
1370,1580,0.151
77,1580,0.267
730,1580,0.18899999999999997
1765,1910,0.305
1875,1910,0.188
1767,1910,0.295
1050,1910,0.10400000000000001
1891,1910,0.3
1719,1910,0.361
1765,2103,0.298
77,2103,0.419
1829,2103,0.239
1866,2103,0.18600000000000003
1765,302,0.29600000000000004
1765,1764,0.293
1875,1764,0.16
1767,1764,0.37799999999999995
1891,1764,0.257
17,303,0.22899999999999998
17,304,0.21
17,305,0.198
17,306,0.198
17,307,0.198
17,308,0.198
17,309,0.198
17,310,0.162
1525,1529,0.368
1829,1529,0.23399999999999999
771,1529,0.452
929,1529,0.19699999999999998
1525,929,0.33299999999999996
52,929,0.109
1678,929,0.23600000000000002
1525,1071,0.295
1892,1071,0.091
742,1071,0.105
1525,1286,0.245
725,1286,0.309
1071,1286,0.207
1525,311,0.228
1525,1287,0.22
1071,1287,0.18600000000000003
1525,1290,0.185
1071,1290,0.157
1525,1902,0.171
1684,1902,0.075
1898,1902,0.08900000000000001
1525,313,0.16899999999999998
2190,990,0.41200000000000003
20,990,0.133
990,990,0.262
2190,2194,0.34600000000000003
1803,2194,0.067
990,2194,0.45899999999999996
2193,2194,0.14400000000000002
2190,2189,0.285
398,2189,0.40299999999999997
2193,2189,0.22899999999999998
2190,1552,0.253
19,1552,0.094
990,1552,0.376
829,1552,0.265
2190,2195,0.23800000000000002
990,2195,0.633
2193,2195,0.14300000000000002
2190,2193,0.17
538,2193,0.107
2193,2193,0.16399999999999998
2190,1350,0.16399999999999998
